2023-03-19 19:48:23,616 ERROR [hystrix-search-1][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:48:32,056 ERROR [hystrix-search-2][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:48:42,057 ERROR [hystrix-search-3][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:48:52,080 ERROR [hystrix-search-4][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:49:00,045 ERROR [pool-7-thread-2][_JULLoggerFactory.java:55] - DefaultObjectWrapper.incompatibleImprovements was set to the object returned by Configuration.getVersion(). That defeats the purpose of incompatibleImprovements, and makes upgrading FreeMarker a potentially breaking change. Also, this probably won't be allowed starting from 2.4.0. Instead, set incompatibleImprovements to the highest concrete version that's known to be compatible with your application.
2023-03-19 19:49:00,049 ERROR [pool-7-thread-2][_JULLoggerFactory.java:55] - Configuration.incompatibleImprovements was set to the object returned by Configuration.getVersion(). That defeats the purpose of incompatibleImprovements, and makes upgrading FreeMarker a potentially breaking change. Also, this probably won't be allowed starting from 2.4.0. Instead, set incompatibleImprovements to the highest concrete version that's known to be compatible with your application.
2023-03-19 19:49:02,047 ERROR [hystrix-search-5][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:49:02,923 ERROR [hystrix-search-6][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=123, companyId=1232141425, companyName=null, name=最后一门课, users=最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课, tags=最后一门课, mt=1-6, mtName=云计算/大数据, st=1-6-1, stName=Spark, grade=204003, teachmode=200002, pic=/mediafiles/2023/03/13/fb47ced0a240b25a40f22278b02b1f07.png, description=最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课, createDate=2023-03-19T19:47:53, status=203002, remark=null, charge=201001, price=1.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:49:12,048 ERROR [hystrix-search-7][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:49:12,049 ERROR [hystrix-search-8][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=123, companyId=1232141425, companyName=null, name=最后一门课, users=最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课, tags=最后一门课, mt=1-6, mtName=云计算/大数据, st=1-6-1, stName=Spark, grade=204003, teachmode=200002, pic=/mediafiles/2023/03/13/fb47ced0a240b25a40f22278b02b1f07.png, description=最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课最后一门课, createDate=2023-03-19T19:47:53, status=203002, remark=null, charge=201001, price=1.0, originalPrice=100.0, validDays=365)，熔断异常
2023-03-19 19:49:22,053 ERROR [hystrix-search-9][SearchServiceClientFallbackFactory.java:17] - 添加课程索引发生熔断，索引信息：CourseIndex(id=122, companyId=1232141425, companyName=null, name=嵌入式开发, users=大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生大学生, tags=嵌入式开发, mt=1-3, mtName=编程开发, st=1-3-2, stName=Java, grade=204002, teachmode=200002, pic=/mediafiles/2023/03/19/be6f3083b5f88f7f2409f4bc7a8a7e10.jpg, description=很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高很高等级很高, createDate=2023-03-19T15:45:09, status=203002, remark=null, charge=201001, price=80.0, originalPrice=100.0, validDays=365)，熔断异常
